PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
370183,2020-12-01 00:00:00,2021-11-30 00:00:00,Settled,17631892,12195199,75924761
440144,2021-01-01 00:00:00,2021-06-30 00:00:00,Settled,34018244,112887470,161557923
371307,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,1669100,2303789
363038,2021-09-01 00:00:00,2022-08-31 00:00:00,Settled,86639448,324469004,24157
110177,2021-04-01 00:00:00,2022-03-31 00:00:00,Settled,330643473,2822386686,1170555619
171329,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,1334037,4524310
281334,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,,8538219,38676812
330204,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,1183240714,782580638,395418109
011304,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,5065202,24796229
183030,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,21153408,34221700,2075157
521318,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,10399136,68355823
490005,2020-10-01 00:00:00,2021-09-30 00:00:00,Amended,536819944,704476575,739314635
490069,2021-09-01 00:00:00,2022-08-31 00:00:00,As Submitted,342234641,810973574,821690925
490084,2021-01-01 00:00:00,2021-06-30 00:00:00,Settled,25115442,19486733,73334605
450119,2021-01-01 00:00:00,2021-12-31 00:00:00,Amended,477247533,4409733655,2687361122
370158,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,10860001,3263725,26828296
390035,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,101389493,443830238,609413573
221303,2020-10-01 00:00:00,2021-09-30 00:00:00,As Submitted,,6889103,69926572
220077,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled w/Audit,1276361550,1439436520,1809440085
010087,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,242013346,420151561,284734024
440035,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,161728634,745746250,764611818
171378,2021-05-01 00:00:00,2022-04-30 00:00:00,Settled,,5197428,18012970
330246,2021-01-01 00:00:00,2021-12-31 00:00:00,As Submitted,200090047,554553403,405961642
050025,2021-07-01 00:00:00,2022-06-30 00:00:00,As Submitted,2603591448,4828608759,4751442617
390196,2021-07-01 00:00:00,2022-06-30 00:00:00,As Submitted,,352462182,890907431
131315,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,,4535618,22114276
670056,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,190864270,929090170,555331146
310029,2021-01-01 00:00:00,2021-12-31 00:00:00,As Submitted,343816326,1856200333,963933259
363036,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,15321649,35943111,300
060022,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,869878061,2439088248,2959265013
511309,2021-01-01 00:00:00,2021-12-31 00:00:00,Amended,,10368150,42894056
310057,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,295649689,1381963892,974438404
450163,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,42911311,87038600,224286879
313035,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,21912927,35637412,
021301,2021-01-01 00:00:00,2021-12-31 00:00:00,As Submitted,20256535,10161590,12740474
262015,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,10452900,45030635,
390332,2021-07-01 00:00:00,2022-06-30 00:00:00,As Submitted,55001604,171263581,205940166
670044,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,114067179,165215862,311789337
061316,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,10612668,18242637
364049,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,39065283,76878525,26776082
210019,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,424192175,293616204,246399405
141305,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,13067046,62031723
321302,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,1545026,26729203
171324,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,4489356,6431440
394056,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,25379771,87807000,3123442
450469,2021-01-01 00:00:00,2021-12-31 00:00:00,As Submitted,46315284,167412479,89720752
252007,2021-03-01 00:00:00,2022-02-28 00:00:00,Settled,28834190,173603675,173387
330264,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,235123459,702485320,454911607
161310,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,,1733294,19204355
100150,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,78815269,197484473,255918304
053037,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,24209111,49206752,5209267
251312,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,,9273175,22788923
230141,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,386797690,789540635,656295749
460049,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,62960195,27947741,184258957
370049,2021-01-01 00:00:00,2021-12-31 00:00:00,Reopened,170326635,204686409,584129085
440015,2021-01-01 00:00:00,2021-12-31 00:00:00,Amended,747988499,1544279207,2028947279
182004,2021-09-01 00:00:00,2022-08-31 00:00:00,Settled,13037853,99510205,193754
050760,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,365611901,580574327,892509943
254012,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,9512114,19487524,3480050
201315,2020-10-01 00:00:00,2021-09-30 00:00:00,Amended,,23250855,116025455
040014,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled w/Audit,209224923,311362858,488439584
194098,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,16303626,32430244,2318151
050764,2021-01-01 00:00:00,2021-12-31 00:00:00,As Submitted,150320988,570513717,339059538
391315,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,58261274,31831070,148133124
064023,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,14726943,52108324,
250031,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,87814712,583728219,426735328
050113,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,325915771,191764114,243460049
050024,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,109387547,307308323,103959053
241380,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,,34620137,61523515
420053,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,53831583,47786505,102596436
254008,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,8135333,9362874,
520208,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,63959232,90621383,189720839
230208,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,43129464,13416984,97638678
490001,2020-10-01 00:00:00,2021-02-27 00:00:00,Settled,18604598,42451983,74789901
301301,2020-10-01 00:00:00,2021-09-30 00:00:00,As Submitted,33592551,18203411,44183773
163025,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,17854756,46378998,
010108,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,65914480,115336474,134275880
330115,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,98866529,85544617,226658135
171346,2021-01-01 00:00:00,2021-12-31 00:00:00,Reopened,,2757078,16244671
010086,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,18768871,36492322,78339244
263027,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,18175549,36339415,14520
360262,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled w/Audit,120471084,452831618,530727646
190204,2021-04-01 00:00:00,2022-03-31 00:00:00,Settled,106067813,250294893,323038532
240104,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,162946098,143554223,259154864
140179,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled w/Audit,256714408,631573700,531147046
431302,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,,5591978,9388963
251329,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,,2457044,6215621
050228,2021-07-01 00:00:00,2022-06-30 00:00:00,As Submitted,972007296,2180486271,1336764582
060129,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,52839995,65215134,211291037
450709,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,211861811,535532785,925169095
441305,2020-10-01 00:00:00,2021-09-30 00:00:00,Reopened,,14071066,33205030
370222,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,121094907,131300905,229822663
261314,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,8405156,24054865
460005,2021-06-01 00:00:00,2022-05-31 00:00:00,Settled,167376067,546735702,687330359
531302,2021-07-01 00:00:00,2022-06-30 00:00:00,As Submitted,,36852432,92248236
513027,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,13186325,25572330,
330127,2021-07-01 00:00:00,2022-06-30 00:00:00,Amended,1099566325,569539745,530026580
371325,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,,1671696,8585659
050737,2021-07-01 00:00:00,2022-06-30 00:00:00,As Submitted,209935354,1172855512,405100105
454083,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,15563044,14953727,8420112
051335,2021-07-01 00:00:00,2022-06-30 00:00:00,As Submitted,31598380,4984702,51178935
040022,2020-11-01 00:00:00,2021-10-31 00:00:00,Settled,246307637,1296545869,1066305235
120014,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,129926815,124219557,266121519
241348,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,13400337,7442573,13569122
171331,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,1748787,4260732
250025,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,37849796,68312857,128906477
121305,2021-01-01 00:00:00,2021-12-31 00:00:00,As Submitted,6461463,2914615,3556049
191313,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,7475283,67834197
240010,2021-01-01 00:00:00,2021-12-31 00:00:00,Amended,2567914039,4124745144,3643237546
502002,2021-09-01 00:00:00,2022-08-31 00:00:00,Settled,42431757,154664036,386066
150179,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,18491182,17647776,8438984
410010,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,381065181,376936330,537738536
453310,2021-07-01 00:00:00,2022-06-30 00:00:00,Reopened,,1239301490,479638128
670107,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,25186843,9013983,124549371
330331,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,202548526,506140278,279244632
271301,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,,2730546,6937626
181314,2021-04-01 00:00:00,2022-03-31 00:00:00,Settled,,10143744,35803681
220052,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled w/Audit,305891590,322045750,548889280
151331,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,26573095,144455893
