Provider_Number,STATUS,FYB,FYE,Hospital_Name,Street_Address,City,PO_Box,State,Zip_Code,County,MSA,rpt_rec_num,fy,IME_PART_A,IME_PART_C,IME_Capital_PPS,Total_IME_Payments,DSH_Part_A,DSH_Part_C,Total_DSH_Payments,DGME_Part_A_and_C,DGME_Part_B,Total_DGME_Payments,Hospital_Beds,Labor_Delivery_Beds,Total_Hosp_Beds,Total_Hosp_Medicare_Days,Total_Hosp_Medicaid_Days,Total_Hosp_Days,Total_Hosp_Bed_Days_Available,Interns_and_Residents,Total_Hosp_Employees_on_Payroll,Total_Hosp_Nonpaid_Workers,Total_Hosp_CHIP_Discharges,Total_Hosp_Medicare_Discharges,Total_Hosp_Medicaid_Discharges,Total_Hosp_Discharges,Medicaid_HMO_Discharges,Medicaid_HMO_IPF_Subp_Discharges,Medicaid_HMO_IRF_Subp_Discharges,Medicaid_IPF_Subp_Discharges,Medicaid_IRF_Subp_Discharges,Total_IPF_Subp_Discharges,Total_IRF_Subp_Discharges
010001,SETTLED,10/01/2013,09/30/2014,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,6987,AL,36301,HOUSTON,2180,642308,2014,0,0,0,0,2145563,0,2145563,0,0,0,398,10,408,46163,16111,94934,148920,0,2405.8,0,0,8462,2907,18489,0,0,0,0,0,264,0
010005,REOPENED,10/01/2013,09/30/2014,MARSHALL MEDICAL CENTER - SOUTH,2505 U.S. HIGHWAY 431,BOAZ,,AL,35957-,MARSHALL,2880,774084,2014,0,0,0,0,764970,0,764970,0,0,0,204,0,204,18335,5984,37535,74460,0,1074.47,0,0,3947,1449,8849,215,0,0,0,0,0,0
010006,REOPENED,07/01/2014,06/30/2015,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,818,AL,35630,LAUDERDALE,2650,654188,2014,0,0,0,0,922676,0,922676,0,0,0,358,0,358,32497,8576,61093,130670,0,990.49,0,0,5873,1734,13544,38,0,0,0,0,0,0
010007,SETTLED,10/01/2013,09/30/2014,MIZELL MEMORIAL HOSPITAL,702 MAIN STREET,OPP,429,AL,36462-,COVINGTON,,631227,2014,0,0,0,0,26571,0,26571,0,0,0,45,0,45,3339,421,5123,16425,0,145.46,0,0,709,158,1573,0,0,0,16,0,306,0
010008,SETTLED,01/01/2014,12/31/2014,CRENSHAW COMMUNITY HOSPITAL,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,101 HOSPITAL CIRCLE,AL,36049,CRENSHAW,0,643319,2014,0,0,0,0,48816,0,48816,0,0,0,29,0,29,1184,97,1866,10585,0,106.7,0,0,246,41,352,0,0,0,130,0,568,0
010011,REOPENED,07/01/2014,06/30/2015,ST. VINCENTS EAST,50 MEDICAL PARK DRIVE EAST,BIRMINGHAM,,AL,35235-,JEFFERSON,1000,655241,2014,1604391,0,45841,1650232,944170,0,944170,680023,239619,919642,305,0,305,24865,13340,85909,111325,14.15,1121.3,0,0,4159,2061,15186,0,0,0,19,10,402,281
010012,REOPENED,04/01/2014,03/31/2015,DEKALB REGIONAL MEDICAL CENTER,200 MEDICAL CENTER DRIVE,FORT PAYNE,,AL,35967,DEKALB,0,613681,2014,0,0,0,0,175398,0,175398,0,0,0,97,0,97,4415,3084,11338,35405,0,353.71,0,0,1067,763,3145,0,0,0,25,0,306,0
010016,REOPENED,01/01/2014,12/31/2014,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,,AL,35007,SHELBY,1000,722350,2014,0,0,0,0,548379,0,548379,0,0,0,212,0,212,16947,9134,54312,77380,0,856.62,0,0,3262,2164,11158,0,0,0,0,0,536,0
010018,REOPENED,10/01/2013,09/30/2014,CALLAHAN EYE FOUNDATION HOSP,1720 UNIVERSITY BOULEVARD,BIRMINGHAM,,AL,35233-,JEFFERSON,1000,641421,2014,49337,0,6033,55370,0,0,0,24124,289299,313423,12,0,12,87,11,188,4380,7.51,147.6,0,0,25,4,57,0,0,0,0,0,0,0
010019,REOPENED,10/01/2013,09/30/2014,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,610,AL,35660-,COLBERT,2650,641338,2014,0,0,0,0,665331,0,665331,0,0,0,185,0,185,13689,6541,27858,67525,0,633.54,0,0,2871,2241,6704,0,0,0,0,0,0,0
