Description
IME/GME SOURCES
"FIELD NAME, WORKSHEET, LINE, COLUMN, COMPUTED_AS"
"IME_PART_A,E00A18A, 02900, 00100,"
"IME_PART_C,E00A18A, 02900, 00101,"
"IME_Capital_PPS,L00A181,00600,00100,"
"Total_IME_Payments,,,SUM(IME_Part_A,IME_Part_C,IME_Capital_PPS)"
"DSH_Part_A, E00A18A,03400,_00100,"
"DSH_Part_C, E00A18A,03400,00101,"
"Total_DSH_Payments,,,SUM(DSH_Part_A,DSH_Part_C)"
"DGME_Part_A_and_C, E00A18A,05200,00100,"
"DGME_Part_B, E00A18B,02800,00100,"
"Total_DGME_Payments,,,,SUM(DGME_Part_A_and_C,DGME_Part_B)"
"Hospital_Beds, S300001,01400,00200,"
"Labor_Delivery_Beds, S300001,03200,00200,"
"Total_Hosp_Beds, ,,SUM(Hospital_Beds,Labor_Delivery_Beds)"
"Total_Hosp_Medicare_Days,S300001,01400,00600,"
"Total_Hosp_Medicaid_Days,S300001,01400,00700,"
"Total_Hosp_Days, S300001,01400,00800,"
"Total_Hosp_Bed_Days_Available, ,,,sUM(S300001,01400,00300 AND S300001,03200,0030"
"Interns_and_Residents, S300001,01400,00900,"
"Total_Hosp_Employees_on_Payroll,S300001,01400,01000 ,"
"Total_Hosp_Nonpaid_Workers,S300001,01400,01100 ,"
"Total_Hosp_CHIP_Discharges,S30000,01400,01200,"
"Total_Hosp_Medicare_Discharges, S300001,01400,01300,"
"Total_Hosp_Medicaid_Discharges, S300001,01400,01400,"
"Total_Hosp_Discharges,S300001,01400,01500,"
"Medicaid_HMO_Discharges,S300001,00200,01400,"
"Medicaid_HMO_IPF_Subp_Discharges, S300001,00300,01400,"
"Medicaid_HMO_IRF_Subp_Discharges, S300001,00400,01400,"
"Medicaid_IPF_Subp_Discharges,S300001,01600,01400,"
